Date : 2025-01-12 13:47:58
Directory : /Users/tianqiyin/Desktop/LeetCode/leetcode_practice
Total : 159 files,  3357 codes, 2790 comments, 1122 blanks, all 7269 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        151 |      3,290 |      2,790 |      1,113 |      7,193 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/search-a-2d-matrix.js                                        | JavaScript |         17 |          9 |          6 |         32 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/search-in-rotated-sorted-array.js                            | JavaScript |         22 |         14 |          9 |         45 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/search-insert-postion.js                                     | JavaScript |         18 |         14 |          8 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/simplify-path.js                                             | JavaScript |         16 |         53 |          3 |         72 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/single-number.js                                             | JavaScript |          9 |         13 |          7 |         29 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/single-number2.js                                            | JavaScript |          9 |         10 |          5 |         24 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/snakes-and-ladders.js                                        | JavaScript |         30 |         16 |         10 |         56 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/sort-list.js                                                 | JavaScript |         35 |         18 |         10 |         63 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/spiral-matrix.js                                             | JavaScript |         33 |         12 |          7 |         52 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/sqrt(x).js                                                   | JavaScript |         16 |         14 |          5 |         35 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/substring-with-concatenation-of-all-words.js                 | JavaScript |          2 |         37 |          1 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/sum-root-to-leaf-numbers.js                                  | JavaScript |         12 |         25 |          5 |         42 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/summary-range.js                                             | JavaScript |         20 |         21 |          6 |         47 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/surrounded-regions.js                                        | JavaScript |         37 |          4 |          8 |         49 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/symmetric-tree.js                                            | JavaScript |         14 |         30 |          7 |         51 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/text-justification.js                                        | JavaScript |         34 |         39 |          7 |         80 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/trap-rain-water.js                                           | JavaScript |         27 |         33 |          4 |         64 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/triangle.js                                                  | JavaScript |         10 |         16 |          5 |         31 |
